Fecha_Llamada	Telefono	Extension	Status	Duracion
2017-04-13 09:00:42	012414184127	206	ShortCall	8
2017-04-13 09:01:22	019666632046	215	Success	245
2017-04-13 09:02:32	019616132147	206	Success	39
2017-04-13 09:03:57	014999924468	228	Success	81
2017-04-13 09:04:48	019676788738	206	ShortCall	5
2017-04-13 09:05:05	019982105049	206	Success	76
2017-04-13 09:05:41	014589870011	212	Success	13
2017-04-13 09:06:44	019982677528	205	Success	35
2017-04-13 09:06:42	014679690552	206	Success	33
2017-04-13 09:07:34	019982082179	206	Success	31
2017-04-13 09:07:48	014789487088	228	ShortCall	2
2017-04-13 09:08:26	012482913257	206	Success	61
2017-04-13 09:11:38	014949454513	212	Success	46
2017-04-13 09:12:00	013123113563	205	Success	142
2017-04-13 09:12:34	019982101683	212	Success	10
2017-04-13 09:12:35	019676315912	229	Success	576
2017-04-13 09:13:07	019656558184	212	Success	24
2017-04-13 09:13:03	013133241220	215	Success	116
2017-04-13 09:13:54	013143375889	212	ShortCall	5
2017-04-13 09:16:18	019988804565	206	Success	42
2017-04-13 09:16:40	019988864624	228	Success	51
2017-04-13 09:18:05	014949453796	224	Success	66
2017-04-13 09:18:43	019676787147	224	Success	11
2017-04-13 09:18:42	019979720280	228	Success	145
2017-04-13 09:21:31	019686610386	228	Success	14
2017-04-13 09:22:03	019878696130	228	Success	705
2017-04-13 09:22:28	019982081897	229	Success	13
2017-04-13 09:22:24	019982081268	224	Success	401
2017-04-13 09:26:29	019979740051	206	Success	94
2017-04-13 09:27:52	014379525110	215	Success	211
2017-04-13 09:27:43	019982103652	205	Success	57
2017-04-13 09:27:55	019981770037	212	ShortCall	5
2017-04-13 09:28:25	019686843921	229	Success	534
2017-04-13 09:30:49	019676781112	206	Success	28
2017-04-13 09:31:43	019926364195	212	Success	38
2017-04-13 09:34:06	014949471790	215	Success	64
2017-04-13 09:34:52	019946000105	212	Success	34
2017-04-13 09:34:49	012484826482	205	Success	44
2017-04-13 09:37:16	019616385063	215	Success	37
2017-04-13 09:38:35	019842061952	228	Success	253
2017-04-13 09:38:51	019671103027	229	Success	12
2017-04-13 09:39:04	014949450931	215	Success	55
2017-04-13 09:39:17	019982349532	224	Success	11
2017-04-13 09:40:41	013133243048	206	Success	119
2017-04-13 09:41:01	019878724966	205	Success	102
2017-04-13 09:41:32	013123146173	224	ShortCall	7
2017-04-13 09:41:47	014928992637	229	Success	26
2017-04-13 09:43:05	019631011039	206	Success	489
2017-04-13 09:43:07	019686856247	205	Success	100
2017-04-13 09:43:08	019656516513	228	Success	62
2017-04-13 09:44:46	019676780547	228	Success	29
2017-04-13 09:45:53	019982677330	212	Success	219
2017-04-13 09:46:10	013123307006	215	Success	197
2017-04-13 09:49:47	019636328550	212	Success	61
2017-04-13 09:52:49	012464976468	205	ShortCall	9
2017-04-13 09:53:18	019982349662	215	Success	63
2017-04-13 09:53:16	019988841603	212	Success	27
