Fecha_Llamada	Telefono	Extension	Status	Duracion
2017-03-31 10:00:59	014171726037	228	Success	50
2017-03-31 10:01:50	013163710869	212	Success	11
2017-03-31 10:02:03	014646411885	224	Success	292
2017-03-31 10:02:20	014777162175	225	ShortCall	2
2017-03-31 10:02:24	013487885214	214	Success	127
2017-03-31 10:03:58	014771980770	216	ShortCall	4
2017-03-31 10:03:49	014771675107	215	ShortCall	1
2017-03-31 10:04:01	013123121737	228	ShortCall	5
2017-03-31 10:04:42	014777783812	212	Success	12
2017-03-31 10:05:07	014771192664	226	Success	36
2017-03-31 10:06:15	013414142014	229	Success	40
2017-03-31 10:06:40	013477182075	206	Success	689
2017-03-31 10:06:41	012444459441	213	Success	38
2017-03-31 10:08:00	012444455641	215	Success	43
2017-03-31 10:08:06	014646473593	216	Success	122
2017-03-31 10:08:36	014696960167	214	Success	94
2017-03-31 10:09:34	013123964391	229	Success	41
2017-03-31 10:09:23	013434139694	226	Success	71
2017-03-31 10:10:05	014767570204	224	Success	99
2017-03-31 10:10:05	014777174182	213	Success	230
2017-03-31 10:10:07	014767436524	215	Success	28
2017-03-31 10:10:40	014171601428	228	Success	51
2017-03-31 10:10:51	014777154888	214	Success	23
2017-03-31 10:10:39	014777766784	212	Success	15
2017-03-31 10:11:18	012253151077	225	ShortCall	2
2017-03-31 10:11:05	012444450401	229	ShortCall	4
2017-03-31 10:11:33	014777118784	229	Success	64
2017-03-31 10:13:38	014777153305	212	ShortCall	0
2017-03-31 10:15:13	014777129231	228	Success	93
2017-03-31 10:17:08	014566432020	212	ShortCall	6
2017-03-31 10:17:10	014696921483	214	ShortCall	6
2017-03-31 10:17:50	014626254407	226	Success	477
2017-03-31 10:17:40	014737332318	213	ShortCall	2
2017-03-31 10:18:26	014737347430	212	ShortCall	8
2017-03-31 10:19:22	014777725078	213	Success	41
2017-03-31 10:19:40	014767577704	206	Success	495
2017-03-31 10:19:41	013525220211	217	Success	13
2017-03-31 10:20:00	014737320718	228	Success	24
2017-03-31 10:20:41	014777902289	214	Success	199
2017-03-31 10:21:08	014737334473	215	ShortCall	7
2017-03-31 10:22:07	013123950551	224	ShortCall	8
2017-03-31 10:22:11	014767434722	212	Success	33
2017-03-31 10:23:46	012444464056	224	Success	88
2017-03-31 10:24:19	014214765026	212	Success	262
2017-03-31 10:26:47	014327900167	215	Success	145
2017-03-31 10:28:51	014696928033	217	Success	45
2017-03-31 10:29:37	014771006900	214	ShortCall	9
2017-03-31 10:30:05	014777908112	212	Success	22
2017-03-31 10:30:00	014771676247	206	Success	52
2017-03-31 10:30:30	014777781080	229	Success	63
2017-03-31 10:31:23	014737332958	212	Success	26
2017-03-31 10:31:43	014771670705	213	Success	36
2017-03-31 10:32:37	014696927033	206	ShortCall	1
2017-03-31 10:34:02	013525225466	215	ShortCall	3
2017-03-31 10:35:48	014171720496	226	ShortCall	9
2017-03-31 10:36:10	014566437737	212	Success	71
2017-03-31 10:36:51	014767060952	214	Success	20
2017-03-31 10:38:00	014771039238	213	Success	13
2017-03-31 10:38:13	014171728092	206	Success	371
2017-03-31 10:38:24	013121612546	228	Success	13
2017-03-31 10:39:32	014696921177	215	Success	28
2017-03-31 10:40:39	014761194145	213	Success	22
2017-03-31 10:41:18	012444459226	214	ShortCall	5
2017-03-31 10:41:38	013447841544	212	Success	25
2017-03-31 10:42:32	013525254879	229	Success	90
2017-03-31 10:42:35	013163710571	213	Success	57
2017-03-31 10:43:47	014767060158	214	Success	29
2017-03-31 10:45:28	014731166798	228	Success	11
2017-03-31 10:46:36	014176094048	225	Success	207
2017-03-31 10:46:54	014646420084	228	ShortCall	1
2017-03-31 10:49:35	013414144334	214	ShortCall	1
2017-03-31 10:50:10	014696964777	226	Success	26
2017-03-31 10:51:45	013123123788	225	Success	44
2017-03-31 10:52:19	014646474107	226	ShortCall	0
2017-03-31 10:52:46	014727220861	214	Success	37
2017-03-31 10:53:20	014327441935	215	Success	138
2017-03-31 10:55:06	014626236363	212	Success	13
2017-03-31 10:56:14	014771488116	213	Success	73
