Fecha_Llamada	Telefono	Extension	Status	Duracion
2017-04-03 14:49:26	014422204264	226	ShortCall	6
2017-04-03 14:49:54	017489121479	216	Success	18
2017-04-03 14:50:02	019947210119	205	Success	16
2017-04-03 14:49:47	019717146913	228	ShortCall	8
2017-04-03 14:50:23	019717153243	206	Success	18
2017-04-03 14:50:22	019717140076	212	Success	42
2017-04-03 14:51:08	012787333047	214	ShortCall	1
2017-04-03 14:51:03	012764740204	215	ShortCall	3
2017-04-03 14:51:08	012464628915	225	Success	15
2017-04-03 14:51:10	019242612108	226	Success	37
2017-04-03 14:51:45	019717112193	205	ShortCall	7
2017-04-03 14:51:37	019717132323	216	Success	21
2017-04-03 14:51:33	012838741786	228	Success	646
2017-04-03 14:52:18	019717150714	215	ShortCall	3
2017-04-03 14:52:28	012765965397	225	Success	77
2017-04-03 14:52:26	019715223038	214	Success	58
2017-04-03 14:52:13	019241064155	206	Success	32
2017-04-03 14:52:15	019717152803	212	Success	20
2017-04-03 14:52:52	019727223723	226	Success	37
2017-04-03 14:52:52	019515212027	205	ShortCall	6
2017-04-03 14:53:21	014422185613	212	Success	42
2017-04-03 14:53:14	014422233967	216	Success	146
2017-04-03 14:53:17	014422544049	215	ShortCall	3
2017-04-03 14:53:45	012878753613	206	Success	33
2017-04-03 14:53:47	017499183133	205	ShortCall	7
2017-04-03 14:54:28	014422203646	214	Success	30
2017-04-03 14:54:18	012474726030	215	Success	13
2017-04-03 14:55:00	019717134423	205	Success	14
2017-04-03 14:55:02	017499181769	206	Success	74
2017-04-03 14:55:05	019717131403	226	Success	56
2017-04-03 14:54:47	014422252098	226	ShortCall	6
2017-04-03 14:55:04	019946000001	215	ShortCall	6
2017-04-03 14:54:58	019717130832	225	ShortCall	10
2017-04-03 14:55:00	019515233147	212	Success	35
2017-04-03 14:55:28	019545860046	214	Success	345
2017-04-03 14:56:00	014422455121	215	Success	17
2017-04-03 14:56:04	019717151807	212	Success	41
2017-04-03 14:55:58	019515684953	225	ShortCall	2
2017-04-03 14:56:03	019515218270	205	Success	36
2017-04-03 14:56:08	019515220882	216	Success	199
2017-04-03 14:56:42	019717130137	226	ShortCall	5
2017-04-03 14:56:47	019717120084	225	Success	14
2017-04-03 14:57:16	014422254530	205	ShortCall	3
2017-04-03 14:57:05	019717130207	206	Success	30
2017-04-03 14:57:14	019727123499	215	Success	11
2017-04-03 14:57:49	012838732242	225	ShortCall	4
2017-04-03 14:57:44	019717134396	212	Success	32
2017-04-03 14:57:47	019727123468	226	Success	131
2017-04-03 14:57:54	019246880164	205	Success	35
2017-04-03 14:58:48	019947136397	206	Success	17
2017-04-03 14:58:45	019242448639	215	ShortCall	3
2017-04-03 14:58:54	012464642938	212	ShortCall	3
2017-04-03 14:58:51	019947136741	225	Success	16
2017-04-03 14:59:25	019717140020	215	ShortCall	7
2017-04-03 14:59:22	019242646077	205	ShortCall	2
2017-04-03 15:00:01	019717124414	225	ShortCall	3
2017-04-03 14:59:52	019957212553	206	ShortCall	2
2017-04-03 14:59:52	019545436540	212	ShortCall	2
2017-04-03 09:07:26	017489126917	215	Success	359
2017-04-03 09:10:54	019717131913	216	Success	62
2017-04-03 09:11:09	017574761949	214	Success	11
2017-04-03 09:11:11	019515286061	228	Success	65
2017-04-03 09:11:08	019717131272	212	Success	24
2017-04-03 09:17:08	012747431348	226	ShortCall	1
2017-04-03 09:17:22	019717112495	215	Success	11
2017-04-03 09:17:54	012474729479	206	Success	20
2017-04-03 09:18:18	019717112851	215	Success	41
2017-04-03 09:19:30	019717111474	225	Success	37
2017-04-03 09:19:19	019947224004	215	Success	36
2017-04-03 09:20:47	017499181773	215	Success	283
2017-04-03 09:22:47	019717134367	216	Success	460
2017-04-03 09:22:50	017499180297	212	Success	37
2017-04-03 09:23:35	019535330700	206	ShortCall	6
2017-04-03 09:24:36	019717138474	206	Success	10
2017-04-03 09:25:20	012764770083	228	Success	21
2017-04-03 09:26:05	019717150263	205	ShortCall	4
2017-04-03 09:26:29	017487661586	205	Success	188
2017-04-03 09:26:35	019727216121	226	ShortCall	5
2017-04-03 09:27:40	019242448652	212	Success	32
2017-04-03 09:28:14	019727220330	212	Success	354
2017-04-03 09:31:11	014422285441	225	Success	11
2017-04-03 09:32:24	019717131029	205	Success	48
2017-04-03 09:32:22	019947224142	215	Success	152
2017-04-03 09:33:55	019947210025	205	Success	128
2017-04-03 09:35:30	012764770960	226	Success	617
2017-04-03 09:36:17	012764731213	212	Success	17
2017-04-03 09:38:06	019515111276	214	Success	198
2017-04-03 09:39:21	019541042061	215	Success	15
2017-04-03 09:40:01	019717151080	215	ShortCall	9
2017-04-03 09:40:26	019947170084	216	Success	88
2017-04-03 09:41:06	019717145565	212	Success	159
2017-04-03 09:42:11	019717137323	214	Success	48
