Fecha_Llamada	Telefono	Extension	Status	Duracion
2017-04-12 09:00:50	014777737946	205	ShortCall	3
2017-04-12 09:01:02	017898930710	213	Success	291
2017-04-12 09:01:20	019222230496	225	ShortCall	3
2017-04-12 09:02:51	014641138374	212	Success	116
2017-04-12 09:02:59	017858521283	205	Success	245
2017-04-12 09:03:21	012979732193	228	Success	194
2017-04-12 09:04:27	019515220260	212	Success	233
2017-04-12 09:06:07	017828250475	214	Success	29
2017-04-12 09:08:03	019222642907	225	Success	18
2017-04-12 09:08:40	012969660206	205	ShortCall	3
2017-04-12 09:08:32	014174715724	213	ShortCall	6
2017-04-12 09:09:57	017861563586	228	Success	99
2017-04-12 09:10:33	017898940127	224	Success	21
2017-04-12 09:11:04	017151534862	224	Success	75
2017-04-12 09:10:55	019242454661	214	ShortCall	7
2017-04-12 09:11:59	014245333042	228	Success	468
2017-04-12 09:12:26	012979731251	214	Success	207
2017-04-12 09:12:27	017858568139	225	Success	74
2017-04-12 09:12:56	019222214768	224	Success	48
2017-04-12 09:13:55	014535343356	205	ShortCall	0
2017-04-12 09:14:04	017838342332	225	Success	46
2017-04-12 09:14:37	012323212869	224	Success	41
2017-04-12 09:14:31	012979731016	205	Success	243
2017-04-12 09:14:41	017861563875	225	Success	36
2017-04-12 09:15:12	017828222275	212	Success	143
2017-04-12 09:15:29	019222412092	229	Success	23
2017-04-12 09:15:43	014767437094	213	Success	54
2017-04-12 09:17:47	014777588827	212	Success	66
2017-04-12 09:18:24	012353270602	205	Success	117
2017-04-12 09:18:51	017861545675	225	Success	123
2017-04-12 09:19:52	014474344246	214	ShortCall	1
2017-04-12 09:20:41	019717138849	229	Success	50
2017-04-12 09:21:09	017861542823	206	Success	91
2017-04-12 09:21:59	017898960965	228	Success	179
2017-04-12 09:22:11	017535310418	229	Success	33
2017-04-12 09:22:38	014777725198	225	Success	77
2017-04-12 09:23:21	012798215986	229	ShortCall	1
2017-04-12 09:23:59	012969622219	206	Success	36
2017-04-12 09:25:34	012353254135	228	Success	220
2017-04-12 09:25:41	012969620221	205	Success	35
2017-04-12 09:26:28	013525253068	229	Success	63
2017-04-12 09:27:04	017858530196	205	Success	79
2017-04-12 09:29:08	012747450340	228	ShortCall	7
2017-04-12 09:28:53	017858522342	205	Success	99
2017-04-12 09:28:54	019515536436	224	Success	343
2017-04-12 09:29:36	019212175433	214	Success	37
2017-04-12 09:29:59	017535370662	212	ShortCall	9
2017-04-12 09:30:41	012283180278	212	Success	28
