Fecha_Llamada	Telefono	Extension	Status	Duracion
2017-04-11 09:02:32	013133221968	213	Success	41
2017-04-11 09:02:30	019222215287	206	ShortCall	1
2017-04-11 09:03:10	012288161277	216	Success	12
2017-04-11 09:04:20	012979734129	229	Success	63
2017-04-11 09:04:29	017898960807	216	Success	12
2017-04-11 09:04:53	013133277116	205	Success	71
2017-04-11 09:05:19	014255353609	216	Success	15
2017-04-11 09:06:16	017151535387	216	Success	14
2017-04-11 09:07:05	014422170638	229	ShortCall	3
2017-04-11 09:07:22	017535410557	228	Success	49
2017-04-11 09:07:50	017151567726	229	Success	278
2017-04-11 09:07:55	017535376411	206	Success	10
2017-04-11 09:08:56	017151531983	228	Success	115
2017-04-11 09:09:06	019222238483	205	Success	21
2017-04-11 09:09:35	019222231155	212	Success	25
2017-04-11 09:09:33	017688555188	213	Success	201
2017-04-11 09:10:03	017861548483	215	Success	25
2017-04-11 09:10:52	017861543639	205	Success	307
2017-04-11 09:11:42	019515127167	228	Success	52
2017-04-11 09:13:04	014296941307	212	Success	30
2017-04-11 09:14:52	012787331103	229	ShortCall	4
2017-04-11 09:15:35	014566490046	215	ShortCall	5
2017-04-11 09:15:59	017848424197	215	Success	31
2017-04-11 09:17:13	019222215891	228	Success	63
2017-04-11 09:17:20	014214761215	206	ShortCall	8
2017-04-11 09:17:03	017151535132	213	ShortCall	0
2017-04-11 09:17:36	014777908050	212	Success	21
2017-04-11 09:17:46	019515025215	206	Success	110
2017-04-11 09:18:24	014525286675	212	ShortCall	5
2017-04-11 09:18:21	017535410575	215	Success	15
2017-04-11 09:20:11	019222217088	206	Success	38
2017-04-11 09:20:51	017848426868	212	Success	36
2017-04-11 09:20:40	014771948176	213	Success	55
2017-04-11 09:21:06	017151536502	215	Success	11
2017-04-11 09:21:11	017858522922	206	Success	31
2017-04-11 09:21:37	014621143340	215	ShortCall	9
2017-04-11 09:21:46	019222238157	213	ShortCall	8
2017-04-11 09:22:24	012979732975	213	Success	163
2017-04-11 09:22:21	017151570409	205	Success	221
2017-04-11 09:22:54	012798310063	215	Success	163
2017-04-11 09:22:39	017151538000	226	Success	24
2017-04-11 09:23:28	014626243762	229	ShortCall	4
2017-04-11 09:23:22	017861925260	226	Success	15
2017-04-11 09:24:06	017658445500	229	Success	15
2017-04-11 09:24:53	017861544615	224	Success	250
2017-04-11 09:25:39	019222225139	225	Success	94
2017-04-11 09:26:43	012737371365	228	Success	70
2017-04-11 09:27:56	017468810191	205	Success	62
2017-04-11 09:28:49	017461002035	213	Success	53
2017-04-11 09:29:08	012737350710	224	Success	46
2017-04-11 09:29:02	014566430789	205	Success	435
2017-04-11 09:30:04	014696944829	226	Success	57
2017-04-11 09:30:32	017535323116	213	Success	126
2017-04-11 09:31:25	014327441522	228	Success	63
2017-04-11 09:31:19	019222210384	215	Success	82
2017-04-11 09:32:52	017838342686	224	Success	96
2017-04-11 09:33:11	019222610839	228	Success	96
2017-04-11 09:33:26	017747431409	212	Success	16
2017-04-11 09:33:59	012288167615	206	Success	20
2017-04-11 09:33:56	017838376133	215	Success	34
2017-04-11 09:33:55	017111588149	225	Success	82
2017-04-11 09:34:28	019212104755	212	ShortCall	8
2017-04-11 09:34:44	014626071747	215	Success	57
2017-04-11 09:35:31	014171727025	228	Success	597
2017-04-11 09:37:27	017688550890	213	Success	109
2017-04-11 09:37:14	012979560544	206	Success	82
2017-04-11 09:37:18	014593418039	215	Success	352
2017-04-11 09:37:15	014767060055	225	Success	40
2017-04-11 09:37:31	017668451489	212	Success	28
2017-04-11 09:38:42	017151537517	205	Success	208
2017-04-11 09:39:20	017838344249	213	Success	73
2017-04-11 09:39:19	012979731045	213	ShortCall	2
2017-04-11 09:39:53	014255470950	212	Success	69
2017-04-11 09:42:00	019515012502	206	Success	117
2017-04-11 09:42:33	017861684052	229	Success	59
2017-04-11 09:42:44	012949431994	224	ShortCall	5
2017-04-11 09:42:38	019717200892	213	Success	62
2017-04-11 09:42:39	014265334093	212	Success	16
2017-04-11 09:44:15	014422173146	212	Success	22
2017-04-11 09:44:44	012979732136	224	ShortCall	7
2017-04-11 09:44:53	017747580051	212	Success	16
